Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2021-01-10 14:08:52,2021-01-10 14:08:54,"2,255s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/p_There is 1 error""), ""There is 1 error"")",Firefox 84.0,,,2021-01-10 14:08:54,2021-01-10 14:08:54,"0,451s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login - My Store/li_passwd is required""), ""passwd is required."")",Firefox 84.0,,,2021-01-10 14:08:54,2021-01-10 14:08:55,"0,279s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - My Store/input__passwd""), password)",Firefox 84.0,,,2021-01-10 14:08:55,2021-01-10 14:08:55,"0,296s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Firefox 84.0,,,2021-01-10 14:08:55,2021-01-10 14:08:57,"1,981s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_My account - My Store/a_Sign out""))",Firefox 84.0,,,2021-01-10 14:08:57,2021-01-10 14:08:57,"0,503s",PASSED
,,,,,,,
Test Cases/TC_6656 - Dodaj do koszyka/TC_6656 - Dodaj do koszyka ze strony głównej,Firefox 84.0,,,2021-01-10 14:08:57,2021-01-10 14:09:20,"22,195s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-10 14:08:58,2021-01-10 14:09:04,"6,340s",PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Firefox 84.0,,,2021-01-10 14:09:04,2021-01-10 14:09:13,"8,845s",PASSED
"scrollToElement(findTestObject(""Object Repository/Page_My Store/li_Quick view16.51Faded Short Sleeve T-shir_47dcca""), 0)",Firefox 84.0,,,2021-01-10 14:09:13,2021-01-10 14:09:13,"0,307s",PASSED
"productName = getText(findTestObject(""Object Repository/Page_My Store/a_Faded Short Sleeve T-shirts""))",Firefox 84.0,,,2021-01-10 14:09:13,2021-01-10 14:09:13,"0,314s",PASSED
"mouseOver(findTestObject(""Object Repository/Page_My Store/a_Faded Short Sleeve T-shirts""))",Firefox 84.0,,,2021-01-10 14:09:13,2021-01-10 14:09:14,"0,448s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_My Store/span_Add to cart""))",Firefox 84.0,,,2021-01-10 14:09:14,2021-01-10 14:09:14,"0,398s",PASSED
